strategy,corpusSize,query,expectedDocId,expectedPresent,sourceHit,activeLayer,durationMs,faithfulness,relevancy
adaptive,1,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,19,1,1
adaptive,1,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,1,0,0,0
adaptive,1,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,1,0,0,0
adaptive,3,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,1
adaptive,3,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,1,0,0,0
adaptive,3,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,1,0,0,0
adaptive,5,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,1
adaptive,5,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,1,0,0,0
adaptive,5,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,1,0,0,0
adaptive,10,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,0.5
adaptive,10,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,1,0,1,0.8
adaptive,10,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,1,0,1,1
adaptive,15,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,0.5
adaptive,15,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,1,0,1,0.8
adaptive,15,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,1,0,1,0.5
adaptive,20,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,0.5
adaptive,20,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,1,0,1,0.8
adaptive,20,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,1,0,1,0.5
adaptive,25,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,0.7
adaptive,25,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,1,0,1,1
adaptive,25,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,1,0,1,0.5
adaptive,30,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,0.5
adaptive,30,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,1,0,1,1
adaptive,30,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,1,0,1,0.5
embedding-only,1,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,2087,1,1
embedding-only,1,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,2,169,0,0
embedding-only,1,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,2,232,0,0
embedding-only,3,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,317,0.8,0.6
embedding-only,3,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,2,245,0,0
embedding-only,3,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,2,168,0,0
embedding-only,5,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,364,0.8,0.6
embedding-only,5,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,2,172,0,0
embedding-only,5,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,2,167,0,0
embedding-only,10,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,582,0.8,0.6
embedding-only,10,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,2,139,0.8,0.5
embedding-only,10,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,2,181,1,1
embedding-only,15,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,379,0.8,0.6
embedding-only,15,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,2,168,0.5,0.3
embedding-only,15,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,2,153,1,0.5
embedding-only,20,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,392,0.7,0.5
embedding-only,20,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,2,172,0.5,0.5
embedding-only,20,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,2,156,1,0.5
embedding-only,25,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,1350,0.7,0.5
embedding-only,25,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,2,167,0.5,0.5
embedding-only,25,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,2,189,1,0.5
embedding-only,30,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,502,0.7,0.5
embedding-only,30,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,2,163,0.5,0.5
embedding-only,30,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,2,248,1,0.7
rag-only,1,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,2200,1,1
rag-only,1,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,3,731,0,0
rag-only,1,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,3,643,0,0
rag-only,3,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,1785,1,1
rag-only,3,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,3,654,0,0
rag-only,3,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,3,792,0,0
rag-only,5,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,2036,1,1
rag-only,5,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,3,990,0,0
rag-only,5,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,3,865,0,0
rag-only,10,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,2753,1,1
rag-only,10,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,3,2219,1,1
rag-only,10,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,3,1651,1,1
rag-only,15,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,3520,1,1
rag-only,15,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,3,2112,1,1
rag-only,15,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,3,1250,1,1
rag-only,20,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,3632,1,1
rag-only,20,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,3,3386,1,1
rag-only,20,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,3,1333,1,1
rag-only,25,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,2939,1,1
rag-only,25,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,3,2288,1,1
rag-only,25,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,3,1132,1,1
rag-only,30,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,2404,1,1
rag-only,30,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,3,2067,1,1
rag-only,30,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,3,1294,1,1
